"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\README.md", "Markdown", 0, 0, 0, 0, -8, 0, -4, -12
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\edit.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\search.svg", "XML", 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button2.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input2.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\search1.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\dashboard\dashboard.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 9, 97
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\dashboard\topbar.module.scss", "SCSS", 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\journal\journal.tsx", "TypeScript JSX", 130, 0, 0, 0, 0, 0, 5, 135
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.module.scss", "SCSS", 0, 0, -22, 0, 0, 0, -3, -25
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.tsx", "TypeScript JSX", -66, 0, 0, 0, 0, 0, -2, -68
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\constants\path.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 3
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calculator\calculator.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, -1, 5
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calender\calender.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.tsx", "TypeScript JSX", 29, 0, 0, 0, 0, 0, 0, 29
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\news\news.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, -1, 5
"Total", "-", 240, 0, 0, 6, -8, 0, 20, 258
