Date : 2024-11-05 18:27:34
Directory : c:\Users\Antik\OneDrive\Documents\GitHub\Client
Total : 78 files,  2233 codes, 61 comments, 219 blanks, all 2513 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         39 |      1,750 |          7 |        153 |      1,910 |
| SCSS           |         13 |        153 |          0 |         26 |        179 |
| TypeScript     |          2 |        123 |          0 |         11 |        134 |
| JSON           |          2 |         82 |          0 |          2 |         84 |
| XML            |         16 |         49 |          0 |         16 |         65 |
| JavaScript     |          1 |         41 |         52 |          1 |         94 |
| HTML           |          2 |         25 |          0 |          5 |         30 |
| Rust           |          2 |          9 |          2 |          4 |         15 |
| CSS            |          1 |          1 |          0 |          1 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         78 |      2,233 |         61 |        219 |      2,513 |
| . (Files)                                                                                                  |          2 |         49 |          0 |          3 |         52 |
| dist                                                                                                       |          5 |         61 |         52 |          7 |        120 |
| dist (Files)                                                                                               |          1 |         13 |          0 |          3 |         16 |
| dist\assets                                                                                                |          4 |         48 |         52 |          4 |        104 |
| src                                                                                                        |         68 |      2,069 |          7 |        204 |      2,280 |
| src (Files)                                                                                                |          4 |        101 |          0 |         15 |        116 |
| src-tauri                                                                                                  |          3 |         54 |          2 |          5 |         61 |
| src-tauri (Files)                                                                                          |          2 |         48 |          0 |          2 |         50 |
| src-tauri\src                                                                                              |          1 |          6 |          2 |          3 |         11 |
| src\api                                                                                                    |          1 |        109 |          0 |          7 |        116 |
| src\assets                                                                                                 |         14 |         43 |          0 |         14 |         57 |
| src\components                                                                                             |         28 |      1,286 |          1 |        112 |      1,399 |
| src\components\charts                                                                                      |          1 |        120 |          1 |          3 |        124 |
| src\components\dashboard                                                                                   |         12 |        683 |          0 |         53 |        736 |
| src\components\dashboard\modals                                                                            |          4 |        279 |          0 |         15 |        294 |
| src\components\dashboard\widgets                                                                           |          8 |        404 |          0 |         38 |        442 |
