"filename", "language", "Markdown", "TypeScript JSX", "SCSS", "TypeScript", "XML", "comment", "blank", "total"
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\README.md", "Markdown", 8, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\api\api.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 3, 57
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\arrow2.svg", "XML", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\charts\EquityChart.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, -9, -4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\newTrade.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\notes.tsx", "TypeScript JSX", 0, 92, 0, 0, 0, 0, 5, 97
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\trade.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 0, 41
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\calculator\calculator.tsx", "TypeScript JSX", 0, 44, 0, 0, 0, 0, 2, 46
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\days\days.tsx", "TypeScript JSX", 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\notes\notes.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 0, 5, 46
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\trades\trades.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button1.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button2.tsx", "TypeScript JSX", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input1.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\textbox1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\small\bubble.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\constants\path.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\index.scss", "SCSS", 0, 0, 37, 0, 0, 0, 2, 39
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.tsx", "TypeScript JSX", 0, -1, 0, 0, 0, 0, 0, -1
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\login\login.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\settings.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 4, 70
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\account.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\general.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\security.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\routes\index.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 18
"Total", "-", 8, 373, 37, 58, 3, 0, 28, 507
